iter	Passed	Remaining
0	63	63663
1	66	33329
2	69	23198
3	73	18212
4	75	15101
5	78	13043
6	81	11595
7	84	10508
8	87	9678
9	90	8992
10	93	8435
11	96	7975
12	99	7565
13	102	7244
14	105	6959
15	108	6702
16	112	6483
17	115	6286
18	118	6107
19	121	5953
20	124	5804
21	127	5664
22	130	5541
23	133	5430
24	137	5352
25	140	5254
26	143	5166
27	146	5090
28	149	5008
29	153	4949
30	156	4883
31	159	4817
32	162	4763
33	165	4706
34	169	4664
35	172	4619
36	176	4583
37	179	4543
38	182	4509
39	187	4488
40	190	4455
41	194	4426
42	197	4395
43	201	4369
44	204	4342
45	208	4315
46	211	4288
47	215	4265
48	218	4245
49	222	4223
50	225	4197
51	229	4179
52	232	4160
53	236	4144
54	240	4125
55	243	4108
56	247	4087
57	250	4068
58	253	4049
59	257	4031
60	260	4013
61	264	3996
62	267	3979
63	270	3962
64	274	3945
65	277	3930
66	281	3913
67	284	3905
68	288	3891
69	291	3874
70	295	3860
71	298	3844
72	301	3834
73	305	3820
74	308	3810
75	312	3797
76	315	3783
77	319	3771
78	322	3759
79	326	3751
80	329	3738
81	332	3727
82	336	3716
83	339	3703
84	343	3694
85	346	3682
86	350	3673
87	353	3662
88	356	3650
89	360	3640
90	363	3630
91	366	3620
92	370	3611
93	373	3602
94	377	3592
95	380	3581
96	383	3573
97	387	3563
98	390	3554
99	393	3544
100	397	3535
101	400	3527
102	404	3519
103	407	3511
104	411	3504
105	414	3495
106	418	3490
107	421	3484
108	425	3475
109	428	3469
110	432	3461
111	436	3457
112	439	3450
113	443	3447
114	447	3445
115	452	3449
116	456	3442
117	459	3436
118	463	3429
119	467	3426
120	471	3422
121	474	3415
122	478	3409
123	481	3403
124	485	3399
125	488	3391
126	492	3383
127	495	3377
128	499	3373
129	503	3368
130	506	3362
131	510	3357
132	514	3351
133	517	3347
134	521	3340
135	524	3333
136	528	3328
137	532	3323
138	535	3318
139	539	3313
140	543	3308
141	547	3305
142	550	3301
143	554	3294
144	557	3287
145	560	3281
146	564	3278
147	569	3276
148	573	3273
149	576	3267
150	580	3262
151	583	3256
152	587	3252
153	591	3247
154	594	3242
155	598	3238
156	602	3233
157	605	3227
158	609	3221
159	612	3217
160	616	3213
161	620	3208
162	623	3203
163	627	3199
164	632	3198
165	636	3196
166	640	3195
167	646	3199
168	650	3200
169	655	3201
170	660	3201
171	665	3202
172	670	3203
173	674	3203
174	679	3203
175	684	3204
176	689	3204
177	693	3204
178	699	3208
179	704	3210
180	709	3210
181	714	3211
182	719	3211
183	724	3210
184	729	3211
185	735	3217
186	740	3219
187	745	3219
188	750	3219
189	755	3220
190	760	3222
191	765	3222
192	771	3223
193	777	3230
194	786	3245
195	792	3251
196	799	3259
197	805	3260
198	810	3263
199	815	3263
200	821	3266
201	828	3273
202	841	3302
203	850	3319
204	858	3329
205	864	3331
206	872	3342
207	880	3352
208	895	3390
209	909	3421
210	918	3433
211	923	3433
212	929	3434
213	935	3435
214	940	3433
215	946	3436
216	953	3440
217	960	3447
218	967	3450
219	974	3453
220	979	3451
221	984	3448
222	989	3446
223	994	3444
224	999	3443
225	1004	3441
226	1010	3439
227	1014	3436
228	1019	3433
229	1024	3431
230	1030	3428
231	1035	3427
232	1040	3424
233	1045	3420
234	1051	3422
235	1056	3419
236	1061	3417
237	1066	3416
238	1073	3418
239	1079	3418
240	1085	3417
241	1091	3418
242	1097	3417
243	1102	3416
244	1108	3414
245	1113	3412
246	1118	3410
247	1123	3407
248	1128	3403
249	1134	3403
250	1140	3402
251	1146	3402
252	1151	3400
253	1156	3397
254	1161	3394
255	1167	3392
256	1172	3389
257	1177	3387
258	1184	3388
259	1190	3388
260	1195	3384
261	1200	3381
262	1205	3379
263	1210	3376
264	1216	3374
265	1221	3371
266	1226	3368
267	1232	3366
268	1238	3364
269	1243	3361
270	1248	3358
271	1253	3354
272	1258	3351
273	1263	3347
274	1268	3343
275	1273	3339
276	1278	3336
277	1283	3332
278	1288	3329
279	1293	3326
280	1298	3323
281	1304	3320
282	1309	3317
283	1314	3312
284	1318	3308
285	1323	3303
286	1328	3299
287	1332	3295
288	1337	3289
289	1341	3284
290	1346	3280
291	1351	3276
292	1355	3271
293	1360	3266
294	1365	3262
295	1369	3257
296	1374	3252
297	1379	3248
298	1392	3264
299	1422	3319
300	1435	3334
301	1442	3334
302	1448	3332
303	1454	3329
304	1460	3328
305	1466	3325
306	1472	3324
307	1478	3322
308	1483	3318
309	1490	3316
310	1499	3323
311	1513	3336
312	1522	3340
313	1529	3340
314	1534	3336
315	1539	3332
316	1545	3329
317	1551	3326
318	1557	3324
319	1563	3322
320	1569	3319
321	1576	3318
322	1582	3317
323	1588	3314
324	1595	3313
325	1604	3317
326	1612	3318
327	1618	3315
328	1623	3311
329	1631	3313
330	1641	3317
331	1648	3316
332	1654	3313
333	1662	3315
334	1671	3317
335	1676	3313
336	1682	3310
337	1688	3307
338	1694	3304
339	1700	3300
340	1705	3296
341	1712	3295
342	1719	3293
343	1732	3304
344	1740	3305
345	1747	3302
346	1753	3300
347	1759	3297
348	1765	3293
349	1771	3290
350	1776	3285
351	1782	3280
352	1786	3275
353	1791	3269
354	1796	3264
355	1801	3259
356	1806	3254
357	1812	3250
358	1817	3244
359	1822	3239
360	1827	3235
361	1832	3229
362	1838	3225
363	1843	3220
364	1848	3215
365	1853	3210
366	1858	3205
367	1862	3199
368	1867	3193
369	1872	3188
370	1877	3182
371	1881	3176
372	1886	3171
373	1891	3165
374	1895	3159
375	1900	3153
376	1904	3147
377	1909	3142
378	1914	3136
379	1919	3131
380	1924	3126
381	1929	3121
382	1934	3116
383	1938	3110
384	1943	3104
385	1948	3098
386	1952	3092
387	1957	3087
388	1961	3081
389	1966	3076
390	1971	3070
391	1976	3065
392	1981	3060
393	1986	3054
394	1991	3049
395	1996	3044
396	2000	3039
397	2006	3034
398	2011	3029
399	2016	3024
400	2020	3018
401	2025	3013
402	2030	3008
403	2035	3003
404	2040	2997
405	2045	2993
406	2051	2988
407	2056	2983
408	2061	2978
409	2066	2973
410	2070	2967
411	2076	2963
412	2081	2958
413	2085	2952
414	2090	2947
415	2095	2942
416	2100	2936
417	2105	2931
418	2110	2926
419	2116	2922
420	2120	2916
421	2125	2911
422	2131	2906
423	2135	2901
424	2140	2896
425	2145	2891
426	2150	2885
427	2155	2880
428	2159	2874
429	2164	2869
430	2169	2864
431	2174	2858
432	2179	2854
433	2184	2849
434	2189	2843
435	2195	2840
436	2200	2835
437	2205	2829
438	2210	2824
439	2215	2819
440	2220	2814
441	2225	2809
442	2230	2804
443	2235	2799
444	2240	2793
445	2244	2788
446	2250	2783
447	2254	2778
448	2260	2774
449	2265	2769
450	2270	2763
451	2275	2758
452	2280	2753
453	2284	2747
454	2289	2742
455	2295	2738
456	2300	2733
457	2305	2728
458	2309	2722
459	2314	2717
460	2319	2712
461	2324	2706
462	2329	2702
463	2334	2696
464	2339	2691
465	2345	2687
466	2349	2681
467	2355	2677
468	2360	2672
469	2365	2666
470	2370	2661
471	2374	2656
472	2380	2651
473	2385	2646
474	2389	2641
475	2394	2635
476	2399	2630
477	2404	2625
478	2409	2620
479	2414	2615
480	2419	2610
481	2424	2605
482	2429	2600
483	2434	2595
484	2439	2590
485	2444	2585
486	2449	2580
487	2454	2575
488	2460	2570
489	2465	2565
490	2470	2561
491	2475	2555
492	2480	2550
493	2485	2545
494	2490	2540
495	2495	2535
496	2500	2530
497	2505	2525
498	2510	2521
499	2515	2515
500	2520	2510
501	2526	2506
502	2530	2500
503	2536	2496
504	2541	2491
505	2546	2485
506	2551	2480
507	2556	2475
508	2561	2470
509	2566	2465
510	2571	2460
511	2576	2455
512	2581	2450
513	2587	2446
514	2592	2441
515	2598	2437
516	2602	2431
517	2608	2426
518	2613	2421
519	2618	2417
520	2624	2412
521	2630	2408
522	2636	2404
523	2641	2399
524	2645	2393
525	2651	2389
526	2655	2383
527	2660	2378
528	2666	2373
529	2670	2368
530	2676	2364
531	2681	2358
532	2685	2352
533	2689	2347
534	2693	2341
535	2697	2335
536	2701	2329
537	2706	2324
538	2711	2318
539	2716	2314
540	2721	2309
541	2726	2303
542	2730	2298
543	2734	2292
544	2739	2286
545	2743	2281
546	2748	2276
547	2753	2271
548	2758	2266
549	2763	2261
550	2768	2256
551	2773	2251
552	2778	2245
553	2783	2240
554	2788	2235
555	2794	2231
556	2799	2226
557	2804	2221
558	2843	2243
559	2862	2249
560	2873	2248
561	2885	2248
562	2890	2243
563	2895	2238
564	2900	2233
565	2906	2228
566	2910	2222
567	2916	2218
568	2922	2213
569	2928	2209
570	2933	2203
571	2939	2199
572	2944	2194
573	2948	2188
574	2954	2183
575	2958	2178
576	2963	2172
577	2968	2167
578	2973	2161
579	2978	2156
580	2983	2151
581	2988	2146
582	2993	2141
583	2998	2135
584	3003	2130
585	3008	2125
586	3014	2120
587	3018	2115
588	3024	2110
589	3028	2104
590	3033	2099
591	3039	2094
592	3043	2089
593	3048	2083
594	3052	2078
595	3057	2072
596	3062	2067
597	3066	2061
598	3071	2056
599	3076	2050
600	3081	2045
601	3085	2039
602	3090	2034
603	3095	2029
604	3100	2024
605	3104	2018
606	3109	2013
607	3114	2007
608	3118	2002
609	3123	1997
610	3128	1991
611	3132	1985
612	3137	1980
613	3142	1975
614	3146	1969
615	3151	1964
616	3155	1958
617	3160	1953
618	3165	1948
619	3169	1942
620	3174	1937
621	3178	1931
622	3182	1925
623	3186	1919
