,Date,Regular,Diesel
0,2022-08-29,3.85,5.06
1,2022-08-30,,
2,2022-08-31,,
3,2022-09-01,,
4,2022-09-02,,
5,2022-09-03,,
6,2022-09-04,,
7,2022-09-05,3.79,5.07
8,2022-09-06,,
9,2022-09-07,,
10,2022-09-08,,
11,2022-09-09,,
12,2022-09-10,,
13,2022-09-11,,
14,2022-09-12,3.72,5.01
15,2022-09-13,,
16,2022-09-14,,
17,2022-09-15,,
18,2022-09-16,,
19,2022-09-17,,
20,2022-09-18,,
21,2022-09-19,3.68,4.95
22,2022-09-20,,
23,2022-09-21,,
24,2022-09-22,,
25,2022-09-23,,
26,2022-09-24,,
27,2022-09-25,,
28,2022-09-26,3.73,4.9
29,2022-09-27,,
30,2022-09-28,,
31,2022-09-29,,
32,2022-09-30,,
33,2022-10-01,,
34,2022-10-02,,
35,2022-10-03,3.8,4.87
36,2022-10-04,,
37,2022-10-05,,
38,2022-10-06,,
39,2022-10-07,,
40,2022-10-08,,
41,2022-10-09,,
42,2022-10-10,3.92,5.06
43,2022-10-11,,
44,2022-10-12,,
45,2022-10-13,,
46,2022-10-14,,
47,2022-10-15,,
48,2022-10-16,,
49,2022-10-17,3.89,5.28
50,2022-10-18,,
51,2022-10-19,,
52,2022-10-20,,
53,2022-10-21,,
54,2022-10-22,,
55,2022-10-23,,
56,2022-10-24,3.79,5.33
57,2022-10-25,,
58,2022-10-26,,
59,2022-10-27,,
60,2022-10-28,,
61,2022-10-29,,
62,2022-10-30,,
63,2022-10-31,3.76,5.31
64,2022-11-01,,
65,2022-11-02,,
66,2022-11-03,,
67,2022-11-04,,
68,2022-11-05,,
69,2022-11-06,,
70,2022-11-07,3.8,5.34
71,2022-11-08,,
72,2022-11-09,,
73,2022-11-10,,
74,2022-11-11,,
75,2022-11-12,,
76,2022-11-13,,
77,2022-11-14,3.77,5.36
78,2022-11-15,,
79,2022-11-16,,
80,2022-11-17,,
81,2022-11-18,,
82,2022-11-19,,
83,2022-11-20,,
84,2022-11-21,3.66,5.3
85,2022-11-22,,
86,2022-11-23,,
87,2022-11-24,,
88,2022-11-25,,
89,2022-11-26,,
90,2022-11-27,,
91,2022-11-28,3.55,5.22
92,2022-11-29,,
93,2022-11-30,,
94,2022-12-01,,
95,2022-12-02,,
96,2022-12-03,,
97,2022-12-04,,
98,2022-12-05,3.4,5.08
99,2022-12-06,,
100,2022-12-07,,
101,2022-12-08,,
102,2022-12-09,,
103,2022-12-10,,
104,2022-12-11,,
105,2022-12-12,3.26,4.92
106,2022-12-13,,
107,2022-12-14,,
108,2022-12-15,,
109,2022-12-16,,
110,2022-12-17,,
111,2022-12-18,,
112,2022-12-19,3.14,4.77
113,2022-12-20,,
114,2022-12-21,,
115,2022-12-22,,
116,2022-12-23,,
117,2022-12-24,,
118,2022-12-25,,
119,2022-12-26,3.1,4.68
120,2022-12-27,,
121,2022-12-28,,
122,2022-12-29,,
123,2022-12-30,,
124,2022-12-31,,
125,2023-01-01,,
126,2023-01-02,3.22,4.68
127,2023-01-03,,
128,2023-01-04,,
129,2023-01-05,,
130,2023-01-06,,
131,2023-01-07,,
132,2023-01-08,,
133,2023-01-09,3.28,4.65
134,2023-01-10,,
135,2023-01-11,,
136,2023-01-12,,
137,2023-01-13,,
138,2023-01-14,,
139,2023-01-15,,
140,2023-01-16,3.31,4.6
141,2023-01-17,,
142,2023-01-18,,
143,2023-01-19,,
144,2023-01-20,,
145,2023-01-21,,
146,2023-01-22,,
147,2023-01-23,3.42,4.62
148,2023-01-24,,
149,2023-01-25,,
150,2023-01-26,,
151,2023-01-27,,
152,2023-01-28,,
153,2023-01-29,,
154,2023-01-30,3.51,4.68
155,2023-01-31,,
156,2023-02-01,,
157,2023-02-02,,
158,2023-02-03,,
159,2023-02-04,,
160,2023-02-05,,
161,2023-02-06,3.47,4.62
162,2023-02-07,,
163,2023-02-08,,
164,2023-02-09,,
165,2023-02-10,,
166,2023-02-11,,
167,2023-02-12,,
168,2023-02-13,3.42,4.55
169,2023-02-14,,
170,2023-02-15,,
171,2023-02-16,,
172,2023-02-17,,
173,2023-02-18,,
174,2023-02-19,,
175,2023-02-20,3.41,4.49
176,2023-02-21,,
177,2023-02-22,,
178,2023-02-23,,
179,2023-02-24,,
180,2023-02-25,,
181,2023-02-26,,
182,2023-02-27,3.37,4.41
183,2023-02-28,,
184,2023-03-01,,
185,2023-03-02,,
186,2023-03-03,,
187,2023-03-04,,
188,2023-03-05,,
189,2023-03-06,3.41,4.38
190,2023-03-07,,
191,2023-03-08,,
192,2023-03-09,,
193,2023-03-10,,
194,2023-03-11,,
195,2023-03-12,,
196,2023-03-13,3.47,4.34
197,2023-03-14,,
198,2023-03-15,,
199,2023-03-16,,
200,2023-03-17,,
201,2023-03-18,,
202,2023-03-19,,
203,2023-03-20,3.44,4.29
204,2023-03-21,,
205,2023-03-22,,
206,2023-03-23,,
207,2023-03-24,,
208,2023-03-25,,
209,2023-03-26,,
210,2023-03-27,3.44,4.24
211,2023-03-28,,
212,2023-03-29,,
213,2023-03-30,,
214,2023-03-31,,
215,2023-04-01,,
216,2023-04-02,,
217,2023-04-03,3.51,4.2
218,2023-04-04,,
219,2023-04-05,,
220,2023-04-06,,
221,2023-04-07,,
222,2023-04-08,,
223,2023-04-09,,
224,2023-04-10,3.6,4.2
225,2023-04-11,,
226,2023-04-12,,
227,2023-04-13,,
228,2023-04-14,,
229,2023-04-15,,
230,2023-04-16,,
231,2023-04-17,3.67,4.2
232,2023-04-18,,
233,2023-04-19,,
234,2023-04-20,,
235,2023-04-21,,
236,2023-04-22,,
237,2023-04-23,,
238,2023-04-24,3.67,4.17
239,2023-04-25,,
240,2023-04-26,,
241,2023-04-27,,
