,Date,Regular,Diesel
0,2022-08-29,3.85,5.06
1,2022-09-05,3.79,5.07
2,2022-09-12,3.72,5.01
3,2022-09-19,3.68,4.95
4,2022-09-26,3.73,4.9
5,2022-10-03,3.8,4.87
6,2022-10-10,3.92,5.06
7,2022-10-17,3.89,5.28
8,2022-10-24,3.79,5.33
9,2022-10-31,3.76,5.31
10,2022-11-07,3.8,5.34
11,2022-11-14,3.77,5.36
12,2022-11-21,3.66,5.3
13,2022-11-28,3.55,5.22
14,2022-12-05,3.4,5.08
15,2022-12-12,3.26,4.92
16,2022-12-19,3.14,4.77
17,2022-12-26,3.1,4.68
18,2023-01-02,3.22,4.68
19,2023-01-09,3.28,4.65
20,2023-01-16,3.31,4.6
21,2023-01-23,3.42,4.62
22,2023-01-30,3.51,4.68
23,2023-02-06,3.47,4.62
24,2023-02-13,3.42,4.55
25,2023-02-20,3.41,4.49
26,2023-02-27,3.37,4.41
27,2023-03-06,3.41,4.38
28,2023-03-13,3.47,4.34
29,2023-03-20,3.44,4.29
30,2023-03-27,3.44,4.24
31,2023-04-03,3.51,4.2
32,2023-04-10,3.6,4.2
33,2023-04-17,3.67,4.2
34,2023-04-24,3.67,4.17
35,2023-05-01,3.61,4.11
36,2023-05-08,3.54,4.05
37,2023-05-15,3.54,4.01
38,2023-05-22,3.54,3.98
39,2023-05-29,3.58,3.95
40,2023-06-05,3.55,3.92
41,2023-06-12,3.59,3.91
42,2023-06-19,3.58,3.87
43,2023-06-26,3.57,3.88
44,2023-07-03,3.54,3.84
45,2023-07-10,3.54,3.84
46,2023-07-17,3.57,3.84
47,2023-07-24,3.6,3.88
48,2023-07-31,3.76,4.04
49,2023-08-07,3.83,4.19
50,2023-08-14,3.85,4.31
51,2023-08-21,3.87,4.35
52,2023-08-28,3.82,4.38
53,2023-09-04,3.81,4.45
54,2023-09-11,3.83,4.48
55,2023-09-18,3.88,4.58
56,2023-09-25,3.85,4.57
57,2023-10-02,3.81,4.58
58,2023-10-09,3.7,4.51
59,2023-10-16,3.6,4.46
60,2023-10-23,3.55,4.5
61,2023-10-30,3.49,4.47
62,2023-11-06,3.42,4.4
63,2023-11-13,3.37,4.35
64,2023-11-20,3.31,4.28
65,2023-11-27,3.25,4.23
66,2023-12-04,3.24,4.19
67,2023-12-11,3.15,4.1
68,2023-12-18,3.07,4.01
69,2023-12-25,3.13,4.02
70,2024-01-01,3.11,3.98
71,2024-01-08,3.08,3.95
72,2024-01-15,3.07,3.92
73,2024-01-22,3.08,3.91
74,2024-01-29,3.11,3.91
75,2024-02-05,3.15,3.93
76,2024-02-12,3.2,4.0
77,2024-02-19,3.28,4.1
78,2024-02-26,3.26,4.07
79,2024-03-04,3.35,4.05
80,2024-03-11,3.4,4.03
81,2024-03-18,3.47,4.03
82,2024-03-25,3.53,4.04
83,2024-04-01,3.54,4.02
84,2024-04-08,3.6,4.04
85,2024-04-15,3.63,4.04
86,2024-04-22,3.68,4.03
87,2024-04-29,3.66,4.0
88,2024-05-06,3.65,3.97
89,2024-05-13,3.62,3.93
90,2024-05-20,3.59,3.9
91,2024-05-27,3.59,3.87
92,2024-06-03,3.53,3.85
93,2024-06-10,3.45,3.79
94,2024-06-17,3.45,3.77
95,2024-06-24,3.45,3.79
96,2024-07-01,3.49,3.8
97,2024-07-08,3.51,3.84
98,2024-07-15,3.52,3.86
99,2024-07-22,3.5,3.83
100,2024-07-29,3.51,3.81
101,2024-08-05,3.47,3.79
102,2024-08-12,3.44,3.75
103,2024-08-19,3.41,3.73
104,2024-08-26,3.35,3.7
